ERIC	Lisbon	9.1	9.58283128	428800
TSLA	London	221.33	229.63	398520
INTC	Tokyo	33.22001	34.28999	4509110
TSLA	Paris	217.35	217.75	252500
AMZN	Tokyo	664.98	661.27	467410
ATML	Frankfurt	8.23	8.36	810440
IBM	Paris	138.52	138.46	513550
ARMH	Frankfurt	48.22	48.98	93370
ALU	Paris	3.96	3.98	349400
EA	Paris	72.63	68.98	1189510
IBM	Tokyo	136.21	136.74	354350
ERIC	Tokyo	9.48	9.48	357790
ALU	London	3.92	3.95	414080
INTC	Lisbon	34.48	34.66	3689200
IBM	Frankfurt	134	135.2	412950
INTC	London	34.249	34.451	1792860
INTC	Frankfurt	32.73	33.16	1831120
EA	Frankfurt	68.16	68.41	324530
ATML	Tokyo	8.65	8.40	2390300
RAX	Lisbon	25.79	26.16	297920
